省份,年份,新质生产力_组合得分,高质量发展_组合得分,产业高级化率（%）,城镇化率（%）,政府干预度（一般公共预算支出/GDP）,基础设施_公路里程（公里）,基础设施_铁路里程（公里）,每万人R&D人员（人年/万人）,人均R&D经费（万元/万人）,每万人专利授权数（件/万人）,人均电商销售额（亿元/万人）,人均软件产品收入（亿元/万人）,人均技术市场成交额（万元/万人）,人均电信业务总量（亿元/万人）,数字普惠金融总指数,人均地区生产总值（元）,居民人均可支配收入（元）,对外开放度（进出口/GDP）,环保重视度（污染治理投资/GDP）,单位GDP能耗（万吨标煤/亿元）
上海,2011,0.1572823193022897,0.5187724033699012,58.04875990391594,89.3,0.2039457815790941,12084.0,500.0,34.328803668195086,1548.5929553980825,20.35653650254669,1.8066062581699345,0.2720986661108795,2040.5311417657047,0.17627758913412564,80.19,82560.0,42173.639,0.949015996153116,0.0003313327106241,0.5871361107623639
上海,2012,0.17743081134393057,0.5294767612959882,60.44653280295237,89.3,0.2073171662276555,12541.0,500.0,34.328803668195086,1548.5929553980825,21.470612755314715,1.8066062581699345,0.2720986661108795,2162.348161734056,0.18636556898707796,150.77,85373.0,42173.639,0.949015996153116,0.0005743568932677,0.5629922717191597
上海,2013,0.20723605517141724,0.5293933073528492,61.62332736735241,89.6,0.2075614981105181,12633.0,500.0,37.63741830065359,1653.5131535947712,19.88562091503268,1.8066062581699345,0.355121748366013,2171.897055964052,0.21779339869281045,222.14,90993.0,42173.639,0.949015996153116,0.0002386847647486,0.5200257583708976
上海,2014,0.24270996171541595,0.5607063604943503,64.81633761461661,89.3,0.2089062572928202,12945.0,465.01,38.049412241588975,1820.912849614917,20.46534252128091,5.041333453587353,0.4035185002026753,2401.4920429671665,0.24137819213619782,239.53,97370.0,45965.8,0.949015996153116,0.0007552709852891,0.4703471276365534
上海,2015,0.2754203434856602,0.5800612003432575,67.75594116253939,88.53,0.2464454523562648,13195.0,465.089,38.64157851912124,1929.3910903173312,24.663547599674533,5.239790154597234,0.4821983238405208,2700.50365093572,0.316826688364524,278.11,103795.536,49867.2,0.949015996153116,0.0008438331518959,0.43509151808370267
上海,2016,0.27629802931968306,0.6291642643444834,69.77942520312365,89.0,0.2455383774595305,13292.0,465.1,39.99635184434536,1986.5334414268343,26.035670855289823,6.500904134576408,0.4832917389541953,3165.730880421565,0.2067166599108229,282.2235392773836,116562.0,54305.34714,0.949015996153116,0.0018418199594373,0.398954527629961
上海,2017,0.30569755654553404,0.6512308149251476,69.17881669402823,89.1,0.2463886417878242,13321.991,465.095,36.07745336577453,2189.761881589619,29.52392538523925,6.221529278183293,0.5576183617193836,3287.176199107867,0.2813442416869424,336.6505858794587,126634.15,58987.95577,0.988684565235062,0.001463260360807,0.3715602035583206
上海,2018,0.37122131649170154,0.6607017441474254,69.89917646551226,89.13,0.2555560227136767,13106.395,466.073,35.5620202020202,2241.926505050505,37.35757575757576,7.035143555555555,0.4899485292929292,4950.245410101011,0.5803393939393939,377.733749406315,134982.0,64182.64535,0.9807970013344608,0.00112394427972175,0.3504909903252369
上海,2019,0.4434604622695288,0.6525785212688436,72.73502096169027,89.22,0.2143681143284868,13044.643,466.537,32.524788391777506,2380.694881096332,40.54292623941959,8.24763111648529,0.6840405965336558,5732.986336154776,0.9030355904877067,410.2814252765977,157279.0,69441.5625,0.8560576325922572,0.0007846281986365,0.30653654588665485
上海,2020,0.5055486120802578,0.643445421115296,73.14500196121092,89.3,0.2093537099443988,12917.0,491.0,35.35249196141479,2552.28577170418,56.18167202572347,9.495498392282958,0.5505345659163987,6363.443882636656,1.1351245980707396,431.9275675526586,155768.0,72232.4,0.8561137843412165,0.0002343918359879,0.30653654588665485
上海,2021,0.45728920961629627,0.684317237100834,73.2747270038806,89.3,0.1950914198575029,13082.497,490.85,37.752511048613904,2805.6621132985133,72.04379268782644,11.700482040980312,0.6897242948975493,10226.96282844516,0.23084773001205305,458.9703890885613,173630.0,78026.6,0.9037507896581966,0.0002567207143832,0.30653654588665485
上海,2022,0.5164701165734781,0.7005960727730347,74.12166762218718,89.33,0.2103598856062777,13004.808,490.85,40.79676767676768,3094.9256565656565,72.04969696969697,15.999108157575758,0.6865511919191919,15639.324848484848,0.2325008282828283,460.6908552828697,179907.0,79609.76883,0.8980422280349719,0.0006138587053891,0.30653654588665485
上海,2023,0.5613673839218761,0.6978136234467059,75.20240921499321,89.46,0.2041248488416666,12989.0,490.9,45.24246079613993,3261.092078809811,63.97868918375553,19.001903462002414,0.8347929232006434,18666.410936871733,0.2597426618415762,473.834085381973,190321.0,84834.0,0.8547630493850954,0.0001709299493632,0.30653654588665485
云南,2011,0.010182919081447158,0.15516564565266272,41.62532384584937,36.57,0.3294231945593897,214524.0,2500.0,2.6605916648672,83.01239473115959,0.9088744588744588,0.2547411786252962,0.0015184236665946,25.355918874458872,0.06661255411255411,24.91,19265.0,12577.87166,0.0779004112677351,0.0015442398168471,1.0727708644435248
云南,2012,0.026382712933729173,0.17247856554852525,41.08572021646118,38.47,0.3465413255967572,219052.0,2600.0,2.6605916648672,83.01239473115959,1.263873893327575,0.2547411786252962,0.0015184236665946,98.20309399697689,0.07453852947527531,84.43,22195.0,12577.87166,0.0779004112677351,0.0019133796402724,1.0120484564191952
